probability_of_a_match,number_of_rounds,probability_of_win
0.48,65,0.3244192654491488
0.48,66,0.32316045479630623
0.48,67,0.32191317942653697
0.48,68,0.32067719282966656
0.48,69,0.31945225740707417
0.48,70,0.31823814402264994
0.48,71,0.31703463158251954
0.48,72,0.31584150664130894
0.48,73,0.3146585630329301
0.48,74,0.31348560152404104
0.48,75,0.3123224294885019
0.48,76,0.3111688606012882
0.48,77,0.3100247145504584
0.48,78,0.30888981676588884
0.48,79,0.3077639981635958
0.48,80,0.3066470949045635
0.48,81,0.305538948167082
0.48,82,0.30443940393168106
0.48,83,0.3033483127778168
0.48,84,0.3022655296915337
0.48,85,0.3011909138833871
0.48,86,0.3001243286159621
0.48,87,0.29906564104037775
0.48,88,0.29801472204121005
0.48,89,0.29697144608930914
0.48,90,0.2959356911020232
0.48,91,0.29490733831037974
0.48,92,0.2938862721328029
0.48,93,0.29287238005497795
0.48,94,0.2918655525155017
0.48,95,0.29086568279697916
0.48,96,0.28987266692225344
0.48,97,0.28888640355547596
0.48,98,0.2879067939077418
0.48,99,0.28693374164703755
0.48,100,0.2859671528122588
0.49,1,0.49
0.49,2,0.485002
0.49,3,0.4812549994
0.49,4,0.4781337479001999
0.49,5,0.4754037452758999
0.49,6,0.47294772571497457
0.49,7,0.47069727499129876
0.49,8,0.46860840662958275
0.49,9,0.4666508758661098
0.49,10,0.46480283632334024
0.49,11,0.46304790101273546
0.49,12,0.4613734055551859
0.49,13,0.45976932263162634
0.49,14,0.4582275521600973
0.49,15,0.4567414396025905
0.49,16,0.4553054387605229
0.49,17,0.453914869395096
0.49,18,0.45256573899675906
0.49,19,0.4512546091046417
0.49,20,0.4499784932813277
0.49,21,0.44873477803876755
0.49,22,0.44752116070507736
0.49,23,0.44633559999756534
0.49,24,0.44517627626397144
0.49,25,0.44404155917662325
0.49,26,0.4429299812401202
0.49,27,0.4418402158829711
0.49,28,0.4407710591995761
0.49,29,0.4397214146256531
0.49,30,0.4386902799908716
0.49,31,0.4376767365129595
0.49,32,0.4366799393888986
0.49,33,0.43569910970876874
0.49,34,0.4347335274718482
0.49,35,0.43378252552670493
0.49,36,0.4328454842901166
0.49,37,0.43192182712585747
0.49,38,0.43101101628529365
0.49,39,0.43011254932849025
0.49,40,0.42922595595808505
0.49,41,0.4283507952091913
0.49,42,0.42748665294758
0.49,43,0.42663313963578653
0.49,44,0.4257898883328812
0.49,45,0.42495655289870604
0.49,46,0.42413280637759343
0.49,47,0.42331833954011666
0.49,48,0.42251285956438256
0.49,49,0.42171608884088624
0.49,50,0.4209277638870588
0.49,51,0.4201476343594515
0.49,52,0.41937546215302574
0.49,53,0.4186110205783436
0.49,54,0.41785409360857484
0.49,55,0.41710447518921406
0.49,56,0.41636196860423924
0.49,57,0.4156263858931692
0.49,58,0.4148975473141134
0.49,59,0.4141752808484514
0.49,60,0.4134594217432662
0.49,61,0.41274981208806943
0.49,62,0.41204630042272905
0.49,63,0.4113487413738345
0.49,64,0.4106569953170141
0.49,65,0.4099709280629789
0.49,66,0.4092904105652848
0.49,67,0.40861531864800416
0.49,68,0.40794553275167333
0.49,69,0.4072809376960391
0.49,70,0.40662142245826477
0.49,71,0.40596687996538344
0.49,72,0.4053172068998928
0.49,73,0.4046723035174911
0.49,74,0.4040320734760389
0.49,75,0.4033964236749101
0.49,76,0.40276526410397634
0.49,77,0.40213850770152326
0.49,78,0.4015160702204615
0.49,79,0.4008978701022514
0.49,80,0.4002838283580012
0.49,81,0.39967386845624586
0.49,82,0.39906791621695603
0.49,83,0.3984658997113572
0.49,84,0.39786774916717377
0.49,85,0.39727339687894586
0.49,86,0.39668277712308814
0.49,87,0.39609582607738814
0.49,88,0.3955124817446656
0.49,89,0.3949326838803295
0.49,90,0.3943563739235952
0.49,91,0.39378349493213677
0.49,92,0.3932139915199663
0.49,93,0.39264780979835
0.49,94,0.39208489731957774
0.49,95,0.39152520302342364
0.49,96,0.3909686771861376
0.49,97,0.39041527137182697
0.49,98,0.3898649383860892
0.49,99,0.38931763223177307
0.49,100,0.38877330806674615
0.5,1,0.5
0.5,2,0.5
0.5,3,0.5
0.5,4,0.5
0.5,5,0.5
0.5,6,0.5
0.5,7,0.5
0.5,8,0.5
0.5,9,0.5
0.5,10,0.5
0.5,11,0.5
0.5,12,0.5
0.5,13,0.5
0.5,14,0.5
0.5,15,0.5
0.5,16,0.5
0.5,17,0.5
0.5,18,0.5
0.5,19,0.5
0.5,20,0.5
0.5,21,0.5
0.5,22,0.5
0.5,23,0.5
0.5,24,0.5
0.5,25,0.5
0.5,26,0.5
0.5,27,0.5
0.5,28,0.5
0.5,29,0.5
0.5,30,0.5
0.5,31,0.5
0.5,32,0.5
0.5,33,0.5
0.5,34,0.49999999999999994
0.5,35,0.5
0.5,36,0.5
0.5,37,0.5
0.5,38,0.5
0.5,39,0.5
0.5,40,0.5
0.5,41,0.4999999999999999
0.5,42,0.5
0.5,43,0.5
0.5,44,0.4999999999999999
0.5,45,0.49999999999999994
0.5,46,0.5
0.5,47,0.5
0.5,48,0.5
0.5,49,0.49999999999999994
0.5,50,0.5
0.5,51,0.5
0.5,52,0.5
0.5,53,0.5
0.5,54,0.5
0.5,55,0.4999999999999999
0.5,56,0.5
0.5,57,0.5
0.5,58,0.5
0.5,59,0.5
0.5,60,0.5
0.5,61,0.5
0.5,62,0.49999999999999994
0.5,63,0.5
0.5,64,0.5000000000000001
0.5,65,0.5000000000000001
0.5,66,0.5
0.5,67,0.5000000000000001
0.5,68,0.5
0.5,69,0.5
0.5,70,0.5
0.5,71,0.5
0.5,72,0.5
0.5,73,0.5
0.5,74,0.5000000000000001
0.5,75,0.5000000000000001
0.5,76,0.5
0.5,77,0.5000000000000001
0.5,78,0.5
0.5,79,0.49999999999999994
0.5,80,0.5
0.5,81,0.5
0.5,82,0.5
0.5,83,0.49999999999999994
0.5,84,0.5
0.5,85,0.5
0.5,86,0.49999999999999994
0.5,87,0.4999999999999999
0.5,88,0.49999999999999994
0.5,89,0.5
0.5,90,0.49999999999999994
0.5,91,0.5
0.5,92,0.49999999999999994
0.5,93,0.5000000000000001
0.5,94,0.5
0.5,95,0.49999999999999994
0.5,96,0.49999999999999994
0.5,97,0.5
0.5,98,0.4999999999999999
0.5,99,0.49999999999999994
0.5,100,0.49999999999999994
0.51,1,0.51
0.51,2,0.514998
0.51,3,0.5187450006000001
0.51,4,0.5218662520998
0.51,5,0.5245962547241001
0.51,6,0.5270522742850253
0.51,7,0.5293027250087012
0.51,8,0.5313915933704172
0.51,9,0.5333491241338902
0.51,10,0.5351971636766597
0.51,11,0.5369520989872645
0.51,12,0.538626594444814
0.51,13,0.5402306773683736
0.51,14,0.5417724478399026
0.51,15,0.5432585603974094
0.51,16,0.5446945612394771
0.51,17,0.5460851306049038
0.51,18,0.5474342610032409
0.51,19,0.5487453908953582
0.51,20,0.5500215067186723
0.51,21,0.5512652219612323
0.51,22,0.5524788392949225
0.51,23,0.5536644000024348
0.51,24,0.5548237237360285
0.51,25,0.5559584408233768
0.51,26,0.5570700187598799
0.51,27,0.5581597841170289
0.51,28,0.559228940800424
0.51,29,0.5602785853743468
0.51,30,0.5613097200091284
0.51,31,0.5623232634870404
0.51,32,0.5633200606111014
0.51,33,0.5643008902912313
0.51,34,0.5652664725281518
0.51,35,0.5662174744732948
0.51,36,0.5671545157098833
0.51,37,0.5680781728741425
0.51,38,0.5689889837147062
0.51,39,0.5698874506715098
0.51,40,0.5707740440419149
0.51,41,0.5716492047908087
0.51,42,0.5725133470524201
0.51,43,0.5733668603642137
0.51,44,0.5742101116671188
0.51,45,0.575043447101294
0.51,46,0.5758671936224066
0.51,47,0.5766816604598834
0.51,48,0.5774871404356174
0.51,49,0.5782839111591138
0.51,50,0.5790722361129411
0.51,51,0.5798523656405484
0.51,52,0.5806245378469742
0.51,53,0.5813889794216563
0.51,54,0.5821459063914253
0.51,55,0.5828955248107859
0.51,56,0.5836380313957609
0.51,57,0.5843736141068308
0.51,58,0.5851024526858865
0.51,59,0.5858247191515485
0.51,60,0.5865405782567337
0.51,61,0.5872501879119306
0.51,62,0.5879536995772708
0.51,63,0.5886512586261653
0.51,64,0.5893430046829857
0.51,65,0.590029071937021
0.51,66,0.5907095894347152
0.51,67,0.5913846813519958
0.51,68,0.5920544672483266
0.51,69,0.592719062303961
0.51,70,0.5933785775417352
0.51,71,0.5940331200346166
0.51,72,0.5946827931001074
0.51,73,0.5953276964825088
0.51,74,0.5959679265239612
0.51,75,0.5966035763250899
0.51,76,0.5972347358960236
0.51,77,0.5978614922984768
0.51,78,0.5984839297795387
0.51,79,0.5991021298977486
0.51,80,0.5997161716419989
0.51,81,0.6003261315437541
0.51,82,0.6009320837830437
0.51,83,0.6015341002886427
0.51,84,0.6021322508328262
0.51,85,0.6027266031210541
0.51,86,0.603317222876912
0.51,87,0.6039041739226119
0.51,88,0.6044875182553344
0.51,89,0.6050673161196707
0.51,90,0.6056436260764048
0.51,91,0.6062165050678632
0.51,92,0.6067860084800336
0.51,93,0.60735219020165
0.51,94,0.6079151026804221
0.51,95,0.6084747969765764
0.51,96,0.6090313228138623
0.51,97,0.6095847286281733
0.51,98,0.6101350616139107
0.51,99,0.6106823677682269
0.51,100,0.6112266919332537
0.52,1,0.52
0.52,2,0.529984
0.52,3,0.5374600192000001
0.52,4,0.5436800671744001
0.52,5,0.5491139010848359
0.52,6,0.5539965268833972
0.52,7,0.5584651060142403
0.52,8,0.5626078618896003
0.52,9,0.5664854813889374
0.52,10,0.5701418180688456
0.52,11,0.5736097802830049
0.52,12,0.5769148113269571
0.52,13,0.5800770650298106
0.52,14,0.58311282858455
0.52,15,0.58603548826285
0.52,16,0.5888562055715708
0.52,17,0.5915844033525656
0.52,18,0.594228123291683
0.52,19,0.5967942941125862
0.52,20,0.5992889362983975
0.52,21,0.6017173207877534
0.52,22,0.6040840936934939
0.52,23,0.6063933755337421
0.52,24,0.6086488410667567
0.52,25,0.6108537841718317
0.52,26,0.6130111710640164
0.52,27,0.6151236843088437
0.52,28,0.6171937595098195
0.52,29,0.6192236161068907
0.52,30,0.6212152834019147
0.52,31,0.6231706226854775
0.52,32,0.6250913461561751
0.52,33,0.6269790331831769
0.52,34,0.6288351443544542
0.52,35,0.6306610336685426
0.52,36,0.6324579591612832
0.52,37,0.6342270922064026
0.52,38,0.6359695256868626
0.52,39,0.6376862812002423
0.52,40,0.6393783154342293
0.52,41,0.6410465258262016
0.52,42,0.6426917556028232
0.52,43,0.6443147982807428
0.52,44,0.6459164016972425
0.52,45,0.6474972716295143
0.52,46,0.6490580750527787
0.52,47,0.6505994430803727
0.52,48,0.6521219736229656
0.52,49,0.6536262337990476
0.52,50,0.6551127621245642
0.52,51,0.6565820705059577
0.52,52,0.6580346460577845
0.52,53,0.6594709527634308
0.52,54,0.6608914329951884
0.52,55,0.6622965089079882
0.52,56,0.6636865837194065
0.52,57,0.6650620428870931
0.52,58,0.6664232551935061
0.52,59,0.6677705737467227
0.52,60,0.6691043369051394
0.52,61,0.6704248691330245
0.52,62,0.6717324817931455
0.52,63,0.673027473882044
0.52,64,0.6743101327129527
0.52,65,0.6755807345508513
0.52,66,0.6768395452036936
0.52,67,0.678086820573463
0.52,68,0.6793228071703336
0.52,69,0.6805477425929258
0.52,70,0.6817618559773501
0.52,71,0.6829653684174805
0.52,72,0.6841584933586908
0.52,73,0.6853414369670698
0.52,74,0.6865143984759591
0.52,75,0.6876775705114979
0.52,76,0.688831139398712
0.52,77,0.6899752854495416
0.52,78,0.6911101832341112
0.52,79,0.692236001836404
0.52,80,0.6933529050954365
0.52,81,0.694461051832918
0.52,82,0.6955605960683189
0.52,83,0.6966516872221832
0.52,84,0.6977344703084662
0.52,85,0.6988090861166129
0.52,86,0.6998756713840377
0.52,87,0.7009343589596222
0.52,88,0.7019852779587897
0.52,89,0.7030285539106909
0.52,90,0.7040643088979768
0.52,91,0.7050926616896201
0.52,92,0.7061137278671968
0.52,93,0.7071276199450223
0.52,94,0.7081344474844983
0.52,95,0.7091343172030209
0.52,96,0.7101273330777464
0.52,97,0.711113596444524
0.52,98,0.7120932060922581
0.52,99,0.7130662583529624
0.52,100,0.714032847187741
0.53,1,0.53
0.53,2,0.544946
0.53,3,0.5561151458000001
0.53,4,0.5653892598626001
0.53,5,0.5734748962080778
0.53,6,0.5807257714572486
0.53,7,0.5873484792139995
0.53,8,0.5934759976507669
0.53,9,0.5991998658105124
0.53,10,0.6045862801429733
0.53,11,0.6096849522217942
0.53,12,0.614534345587525
0.53,13,0.6191649504892386
0.53,14,0.6236014261854576
0.53,15,0.6278640554126085
0.53,16,0.6319697630491441
0.53,17,0.6359328486666557
0.53,18,0.6397655254550828
0.53,19,0.6434783246306273
0.53,20,0.6470804042265476
0.53,21,0.6505797885331881
0.53,22,0.6539835563295833
0.53,23,0.6572979906929948
0.53,24,0.6605286995622698
0.53,25,0.6636807137480042
0.53,26,0.6667585673439764
0.53,27,0.6697663642569451
0.53,28,0.6727078336779884
0.53,29,0.6755863766639174
0.53,30,0.6784051055118007
0.53,31,0.6811668772454312
0.53,32,0.6838743222563789
0.53,33,0.6865298689307728
0.53,34,0.689135764929467
0.53,35,0.6916940956617849
0.53,36,0.6942068003928707
0.53,37,0.6966756863453407
0.53,38,0.6991024410926653
0.53,39,0.7014886434909225
0.53,40,0.7038357733545252
0.53,41,0.7061452200481678
0.53,42,0.7084182901399871
0.53,43,0.7106562142385295
0.53,44,0.712860153117622
0.53,45,0.715031203217896
0.53,46,0.7171704016009212
0.53,47,0.7192787304211928
0.53,48,0.721357120972217
0.53,49,0.7234064573553298
0.53,50,0.725427579813462
0.53,51,0.727421287766572
0.53,52,0.7293883425808109
0.53,53,0.731329470099479
0.53,54,0.7332453629604044
0.53,55,0.7351366827214139
0.53,56,0.7370040618130119
0.53,57,0.7388481053351759
0.53,58,0.7406693927132438
0.53,59,0.742468479226203
0.53,60,0.7442458974192282
0.53,61,0.7460021584110295
0.53,62,0.7477377531054544
0.53,63,0.7494531533158062
0.53,64,0.7511488128094518
0.53,65,0.7528251682795488
0.53,66,0.7544826402500278
0.53,67,0.7561216339193568
0.53,68,0.7577425399481023
0.53,69,0.7593457351947985
0.53,70,0.7609315834042311
0.53,71,0.7625004358518533
0.53,72,0.7640526319477151
0.53,73,0.7655884998029796
0.53,74,0.7671083567618349
0.53,75,0.7686125099013558
0.53,76,0.7701012565016527
0.53,77,0.7715748844884486
0.53,78,0.7730336728500371
0.53,79,0.7744778920304247
0.53,80,0.7759078043002986
0.53,81,0.7773236641073402
0.53,82,0.7787257184072757
0.53,83,0.7801142069769486
0.53,84,0.7814893627105965
0.53,85,0.7828514119004306
0.53,86,0.7842005745025185
0.53,87,0.7855370643889088
0.53,88,0.7868610895868644
0.53,89,0.788172852505998
0.53,90,0.7894725501540575
0.53,91,0.7907603743420476
0.53,92,0.7920365118793297
0.53,93,0.7933011447592923
0.53,94,0.7945544503361468
0.53,95,0.7957966014933674
0.53,96,0.7970277668042481
0.53,97,0.7982481106850317
0.53,98,0.7994577935410259
0.53,99,0.800656971906097
0.53,100,0.8018457985759074
0.54,1,0.54
0.54,2,0.559872
0.54,3,0.5746806144
0.54,4,0.5869421471232
0.54,5,0.5976023236727501
0.54,6,0.6071350799504198
0.54,7,0.6158175143681215
0.54,8,0.6238281764314476
0.54,9,0.6312901081434359
0.54,10,0.6382923848619658
0.54,11,0.6449019739021206
0.54,12,0.6511707484964957
0.54,13,0.6571398756652598
0.54,14,0.6628426879295711
0.54,15,0.6683066338287545
0.54,16,0.6735546445860023
0.54,17,0.6786061173403911
0.54,18,0.6834776388065411
0.54,19,0.6881835285428421
0.54,20,0.6927362539521469
0.54,21,0.6971467522196648
0.54,22,0.701424683510685
0.54,23,0.7055786325748344
0.54,24,0.7096162710651878
0.54,25,0.7135444895524524
0.54,26,0.7173695058836197
0.54,27,0.7210969548751396
0.54,28,0.7247319631316699
0.54,29,0.7282792119031496
0.54,30,0.7317429902414687
0.54,31,0.7351272402291402
0.54,32,0.738435595681604
0.54,33,0.7416714154407726
0.54,34,0.7448378121578354
0.54,35,0.7479376772921139
0.54,36,0.750973702918141
0.54,37,0.7539484008265227
0.54,38,0.7568641193190778
0.54,39,0.7597230580304617
0.54,40,0.7625272810532772
0.54,41,0.7652787285988034
0.54,42,0.7679792273888032
0.54,43,0.7706304999437171
0.54,44,0.7732341729076453
0.54,45,0.7757917845298657
0.54,46,0.778304791405395
0.54,47,0.7807745745626649
0.54,48,0.7832024449742704
0.54,49,0.7855896485564812
0.54,50,0.787937370714549
0.54,51,0.7902467404834422
0.54,52,0.7925188343073603
0.54,53,0.7947546794959643
0.54,54,0.7969552573906499
0.54,55,0.7991215062701784
0.54,56,0.8012543240215443
0.54,57,0.8033545705989642
0.54,58,0.805423070291277
0.54,59,0.807460613815781
0.54,60,0.8094679602545591
0.54,61,0.8114458388476159
0.54,62,0.8133949506556273
0.54,63,0.8153159701037734
0.54,64,0.8172095464169464
0.54,65,0.8190763049555838
0.54,66,0.8209168484604664
0.54,67,0.8227317582139902
0.54,68,0.82452159512471
0.54,69,0.8262869007413006
0.54,70,0.8280281982015054
0.54,71,0.8297459931211332
0.54,72,0.8314407744276968
0.54,73,0.8331130151428832
0.54,74,0.8347631731176658
0.54,75,0.8363916917235474
0.54,76,0.8379990005031059
0.54,77,0.8395855157827687
0.54,78,0.8411516412504735
0.54,79,0.8426977685006678
0.54,80,0.8442242775488926
0.54,81,0.8457315373180188
0.54,82,0.8472199060980393
0.54,83,0.8486897319811607
0.54,84,0.8501413532738265
0.54,85,0.8515750988871454
0.54,86,0.8529912887071192
0.54,87,0.854390233945936
0.54,88,0.8557722374755161
0.54,89,0.8571375941443992
0.54,90,0.858486591078993
0.54,91,0.8598195079701271
0.54,92,0.861136617345778
0.54,93,0.8624381848307968
0.54,94,0.8637244693943781
0.54,95,0.8649957235859957
0.54,96,0.8662521937604453
0.54,97,0.8674941202926263
0.54,98,0.8687217377826174
0.54,99,0.8699352752516012
0.54,100,0.8711349563291209
0.55,1,0.55
0.55,2,0.5747500000000001
0.55,3,0.593126875
0.55,4,0.6082877968750001
0.55,5,0.6214209454492189
0.55,6,0.6331225808288476
0.55,7,0.643741814935861
0.55,8,0.653503925147094
0.55,9,0.6625643836868944
0.55,10,0.6710359124216079
0.55,11,0.6790033851966061
0.55,12,0.6865326469689791
0.55,13,0.6936760340755183
0.55,14,0.7004759891096275
0.55,15,0.7069675176118324
0.55,16,0.7131799103884428
0.55,17,0.7191379833357602
0.55,18,0.7248629904883741
0.55,19,0.730373309872765
0.55,20,0.7356849677425079
0.55,21,0.7408120455012774
0.55,22,0.745766999935288
0.55,23,0.7505609183501937
0.55,24,0.7552037241194118
0.55,25,0.7597043439619476
0.55,26,0.7640708453331759
0.55,27,0.7683105502222782
0.55,28,0.7724301301395224
0.55,29,0.7764356859697719
0.55,30,0.7803328155473745
0.55,31,0.7841266711911711
0.55,32,0.7878220089706687
0.55,33,0.7914232311160947
0.55,34,0.7949344227078852
0.55,35,0.7983593835649953
0.55,36,0.8017016560814119
0.55,37,0.8049645496255636
0.55,38,0.8081511620098318
0.55,39,0.8112643984510413
0.55,40,0.8143069883730081
0.55,41,0.8172815003454705
0.55,42,0.8201903554073214
0.55,43,0.8230358389838962
0.55,44,0.8258201115765567
0.55,45,0.8285452183766228
0.55,46,0.8312130979338874
0.55,47,0.8338255899916481
0.55,48,0.8363844425848186
0.55,49,0.8388913184846905
0.55,50,0.8413478010629014
0.55,51,0.843755399637806
0.55,52,0.8461155543584404
0.55,53,0.8484296406744318
0.55,54,0.850698973434312
0.55,55,0.8529248106496278
0.55,56,0.8551083569578525
0.55,57,0.8572507668133063
0.55,58,0.8593531474319871
0.55,59,0.8614165615133391
0.55,60,0.863442029759466
0.55,61,0.8654305332101009
0.55,62,0.8673830154097043
0.55,63,0.8693003844213629
0.55,64,0.8711835147006707
0.55,65,0.8730332488414309
0.55,66,0.8748503992038655
0.55,67,0.876635749434958
0.55,68,0.8783900558896438
0.55,69,0.8801140489607376
0.55,70,0.8818084343247411
0.55,71,0.8834738941100304
0.55,72,0.8851110879933299
0.55,73,0.8867206542298491
0.55,74,0.8883032106219878
0.55,75,0.8898593554310958
0.55,76,0.8913896682363727
0.55,77,0.8928947107446675
0.55,78,0.894375027554612
0.55,79,0.8958311468782396
0.55,80,0.8972635812229962
0.55,81,0.8986728280367967
0.55,82,0.9000593703185966
0.55,83,0.901423677196732
0.55,84,0.9027662044771134
0.55,85,0.9040873951632178
0.55,86,0.9053876799496414
0.55,87,0.9066674776908843
0.55,88,0.9079271958468762
0.55,89,0.9091672309066807
0.55,90,0.9103879687916783
0.55,91,0.9115897852394583
0.55,92,0.9127730461695558
0.55,93,0.9139381080320867
0.55,94,0.9150853181402727
0.55,95,0.9162150149877649
0.55,96,0.9173275285516289
0.55,97,0.9184231805817905
0.55,98,0.9195022848776828
0.55,99,0.9205651475527945
0.55,100,0.9216120672877798
0.56,1,0.56
0.56,2,0.5895680000000001
0.56,3,0.6114246656000001
0.56,4,0.6293762736128001
0.56,5,0.6448577403630388
0.56,6,0.6585904206291705
0.56,7,0.6709974394936118
0.56,8,0.6823523431583484
0.56,9,0.692844274144565
0.56,10,0.7026106298145791
0.56,11,0.7117550639555269
0.56,12,0.7203581475953306
0.56,13,0.7284840468625797
0.56,14,0.7361848990912342
0.56,15,0.7435037890493477
0.56,16,0.7504768370606403
0.56,17,0.7571347033018224
0.56,18,0.7635036964759754
0.56,19,0.7696066072686305
0.56,20,0.7754633459122598
0.56,21,0.7810914374792418
0.56,22,0.7865064119788873
0.56,23,0.7917221154169458
0.56,24,0.7967509606100932
0.56,25,0.8016041314778265
0.56,26,0.8062917509809198
0.56,27,0.810823020344279
0.56,28,0.8152063353716851
0.56,29,0.8194493843182142
0.56,30,0.8235592307902289
0.56,31,0.8275423843949994
0.56,32,0.8314048612944279
0.56,33,0.8351522363822538
0.56,34,0.8387896884675032
0.56,35,0.8423220395842658
0.56,36,0.845753789341223
0.56,37,0.8490891450605624
0.56,38,0.8523320483251523
0.56,39,0.8554861984477635
0.56,40,0.8585550732911624
0.56,41,0.8615419477987458
0.56,42,0.8644499105388509
0.56,43,0.8672818785193478
0.56,44,0.8700406104906746
0.56,45,0.8727287189235351
0.56,46,0.8753486808208357
0.56,47,0.8779028475010985
0.56,48,0.8803934534718026
0.56,49,0.8828226244952293
0.56,50,0.8851923849359118
0.56,51,0.887504664467345
0.56,52,0.889761304205818
0.56,53,0.8919640623308432
0.56,54,0.8941146192444526
0.56,55,0.8962145823154127
0.56,56,0.8982654902490353
0.56,57,0.9002688171185981
0.56,58,0.9022259760903387
0.56,59,0.9041383228704504
0.56,60,0.9060071588994162
0.56,61,0.9078337343163135
0.56,62,0.9096192507133476
0.56,63,0.9113648636987733
0.56,64,0.913071685284523
0.56,65,0.9147407861132274
0.56,66,0.9163731975378696
0.56,67,0.917969913566026
0.56,68,0.9195318926795164
0.56,69,0.9210600595392561
0.56,70,0.9225553065842078
0.56,71,0.9240184955325164
0.56,72,0.9254504587921705
0.56,73,0.9268520007879083
0.56,74,0.9282238992104757
0.56,75,0.9295669061938306
0.56,76,0.9308817494254066
0.56,77,0.9321691331941255
0.56,78,0.9334297393804547
0.56,79,0.934664228392462
0.56,80,0.9358732400514925
0.56,81,0.9370573944308138
0.56,82,0.9382172926503052
0.56,83,0.9393535176300389
0.56,84,0.9404666348053659
0.56,85,0.9415571928059393
0.56,86,0.9426257241009198
0.56,87,0.9436727456124366
0.56,88,0.9446987592992354
0.56,89,0.9457042527122981
0.56,90,0.9466896995241006
0.56,91,0.9476555600330481
0.56,92,0.9486022816445263
0.56,93,0.9495302993299062
0.56,94,0.9504400360647526
0.56,95,0.9513319032473946
0.56,96,0.9522063010989477
0.56,97,0.9530636190458001
0.56,98,0.9539042360855148
0.56,99,0.9547285211370292
0.56,100,0.9555368333759902
0.57,1,0.57
0.57,2,0.604314
0.57,3,0.6295450841999998
0.57,4,0.6501588799913999
0.57,5,0.6678424247110523
0.57,6,0.6834456772298849
0.57,7,0.6974683202685599
0.57,8,0.7102341338440253
0.57,9,0.7219675122465752
0.57,10,0.7328318384221095
0.57,11,0.7429506545354785
0.57,12,0.752420210611319
0.57,13,0.7613173320223748
0.57,14,0.7697045799371818
0.57,15,0.7776337642980129
0.57,16,0.7851484109004597
0.57,17,0.7922855404442161
0.57,18,0.7990769810193649
0.57,19,0.8055503557942442
0.57,20,0.8117298393543441
0.57,21,0.817636745894608
0.57,22,0.8232899929911568
0.57,23,0.8287064718206714
0.57,24,0.833901346016335
0.57,25,0.8388882953723169
0.57,26,0.8436797164179498
0.57,27,0.8482868888958354
0.57,28,0.8527201150172781
0.57,29,0.8569888367837148
0.57,30,0.861101735485946
0.57,31,0.8650668166088192
0.57,32,0.8688914826976052
0.57,33,0.8725825962274036
0.57,34,0.8761465341183119
0.57,35,0.8795892352279074
0.57,36,0.882916241907643
0.57,37,0.8861327365155003
0.57,38,0.8892435736221032
0.57,39,0.8922533085227419
0.57,40,0.8951662225668076
0.57,41,0.8979863457339997
0.57,42,0.9007174768193937
0.57,43,0.9033632015341315
0.57,44,0.9059269087827132
0.57,45,0.9084118053398298
0.57,46,0.9108209291179316
0.57,47,0.913157161190069
0.57,48,0.9154232367101508
0.57,49,0.91762175485379
0.57,50,0.9197551878868343
0.57,51,0.9218258894549747
0.57,52,0.9238361021761305
0.57,53,0.9257879646072613
0.57,54,0.9276835176486338
0.57,55,0.9295247104411192
0.57,56,0.9313134058056567
0.57,57,0.933051385268411
0.57,58,0.9347403537103163
0.57,59,0.936381943675411
0.57,60,0.9379777193687008
0.57,61,0.9395291803709878
0.57,62,0.9410377650952803
0.57,63,0.9425048540068498
0.57,64,0.9439317726267932
0.57,65,0.9453197943369813
0.57,66,0.9466701430025366
0.57,67,0.9479839954264313
0.57,68,0.9492624836494119
0.57,69,0.9505066971072379
0.57,70,0.9517176846561163
0.57,71,0.9528964564762301
0.57,72,0.9540439858623848
0.57,73,0.9551612109100004
0.57,74,0.9562490361039655
0.57,75,0.9573083338172358
0.57,76,0.9583399457254719
0.57,77,0.9593446841434989
0.57,78,0.9603233332888896
0.57,79,0.9612766504775548
0.57,80,0.9622053672558303
0.57,81,0.9631101904731928
0.57,82,0.9639918032994315
0.57,83,0.9648508661897953
0.57,84,0.9656880178013763
0.57,85,0.9665038758637521
0.57,86,0.9672990380066675
0.57,87,0.9680740825473673
0.57,88,0.9688295692399675
0.57,89,0.969566039989112
0.57,90,0.9702840195299868
0.57,91,0.9709840160766275
0.57,92,0.971666521940326
0.57,93,0.9723320141198091
0.57,94,0.9729809548647639
0.57,95,0.9736137922141687
0.57,96,0.974230960510802
0.57,97,0.974832880893207
0.57,98,0.9754199617663085
0.57,99,0.9759925992518069
0.57,100,0.9765511776194036
0.58,1,0.58
0.58,2,0.618976
0.58,3,0.6474596608
0.58,4,0.6705883933696
0.58,5,0.6903079507584409
0.58,6,0.7076012138061588
0.58,7,0.7230475563603805
0.58,8,0.7370234071034403
0.58,9,0.7497903467572253
0.58,10,0.7615393357559488
0.58,11,0.7724151398922869
0.58,12,0.7825308241904416
0.58,13,0.7919768501880586
0.58,14,0.8008270499304412
0.58,15,0.8091426976083842
0.58,16,0.8169753724691918
0.58,17,0.8243690259040516
0.58,18,0.8313615084019517
0.58,19,0.837985720154962
0.58,20,0.8442704933520393
0.58,21,0.8502412792801907
0.58,22,0.8559206908550485
0.58,23,0.8613289363427135
0.58,24,0.8664841699979993
0.58,25,0.8714027784285074
0.58,26,0.8760996166421007
0.58,27,0.8805882042752085
0.58,28,0.8848808899947289
0.58,29,0.8889889902283101
0.58,30,0.8929229070119874
0.58,31,0.8966922287174354
