probability_of_a_match,number_of_rounds,probability_of_win
0.03,25,2.653730136207581e-25
0.03,26,3.029820165886907e-26
0.03,27,3.461699471742959e-27
0.03,28,3.9577818854261764e-28
0.03,29,4.527768755960728e-29
0.03,30,5.182847491985259e-30
0.03,31,5.93592097845244e-31
0.03,32,6.801872686860259e-32
0.03,33,7.797873055385287e-33
0.03,34,8.94373359161015e-34
0.03,35,1.0262316164757583e-34
0.03,36,1.1780006128305306e-35
0.03,37,1.3527259272850366e-36
0.03,38,1.5539234182409867e-37
0.03,39,1.7856523388914617e-38
0.03,40,2.052599882877855e-39
0.03,41,2.3601789547645926e-40
0.03,42,2.7146412427491957e-41
0.03,43,3.123207998531447e-42
0.03,44,3.594221308554558e-43
0.03,45,4.137319080112369e-44
0.03,46,4.763637474603042e-45
0.03,47,5.486045109526356e-46
0.03,48,6.319414033446134e-47
0.03,49,7.280933268880411e-48
0.03,50,8.39047163410399e-49
0.03,51,9.670997616045675e-50
0.03,52,1.1149065295895761e-50
0.03,53,1.2855376753438916e-51
0.03,54,1.4825433026478839e-52
0.03,55,1.7100287613943813e-53
0.03,56,1.9727418726996728e-54
0.03,57,2.2761739059993327e-55
0.03,58,2.626676482840444e-56
0.03,59,3.0315969268726767e-57
0.03,60,3.499434979118226e-58
0.03,61,4.040024260687119e-59
0.03,62,4.664742401813353e-60
0.03,63,5.386754378145288e-61
0.03,64,6.221294316228375e-62
0.03,65,7.185991865836816e-63
0.03,66,8.301250205527493e-64
0.03,67,9.590683870707083e-65
0.03,68,1.1081625895210288e-65
0.03,69,1.2805715266398688e-66
0.03,70,1.479957744317618e-67
0.03,71,1.710561271443123e-68
0.03,72,1.977290952674075e-69
0.03,73,2.2858302636296225e-70
0.03,74,2.642759910077762e-71
0.03,75,3.0556998791709403e-72
0.03,76,3.533474035718895e-73
0.03,77,4.086300849215824e-74
0.03,78,4.726014408691026e-75
0.03,79,5.466320544992622e-76
0.03,80,6.32309364841758e-77
0.03,81,7.314720660575722e-78
0.03,82,8.462499752634083e-79
0.03,83,9.791102400384991e-80
0.03,84,1.132910895631329e-80
0.03,85,1.3109629430629632e-81
0.03,86,1.5171023062616835e-82
0.03,87,1.7557732431825687e-83
0.03,88,2.0321250373480038e-84
0.03,89,2.352124087939676e-85
0.03,90,2.7226838549174994e-86
0.03,91,3.151815508106097e-87
0.03,92,3.6488025844425127e-88
0.03,93,4.224403485676805e-89
0.03,94,4.891086261430076e-90
0.03,95,5.663300833183606e-91
0.03,96,6.557794639211599e-92
0.03,97,7.593978636912662e-93
0.03,98,8.794351708601156e-94
0.03,99,1.0184992804143878e-94
0.03,100,1.1796131647365463e-95
0.04,1,0.04
0.04,2,0.004672
0.04,3,0.0006022144000000001
0.04,4,8.128184319999999e-05
0.04,5,1.126850756608e-05
0.04,6,1.5898640480468994e-06
0.04,7,2.271110407078386e-07
0.04,8,3.274352606107888e-08
0.04,9,4.754603951945478e-09
0.04,10,6.943443179805266e-10
0.04,11,1.0187123219236077e-10
0.04,12,1.500390557789224e-11
0.04,13,2.217035100242473e-12
0.04,14,3.285126912357383e-13
0.04,15,4.8795543570283646e-14
0.04,16,7.263141484916941e-15
0.04,17,1.0831200546143745e-15
0.04,18,1.6178791855797325e-16
0.04,19,2.420231957355066e-17
0.04,20,3.625307043333018e-18
0.04,21,5.43693646807624e-19
0.04,22,8.162772952290204e-20
0.04,23,1.2267434739217244e-20
0.04,24,1.8452965317209547e-21
0.04,25,2.7780694531351277e-22
0.04,26,4.185587285077334e-23
0.04,27,6.310751288386498e-24
0.04,28,9.521267399591144e-25
0.04,29,1.4373995093921152e-25
0.04,30,2.1712571366331358e-26
0.04,31,3.281555955643533e-27
0.04,32,4.962133428696518e-28
0.04,33,7.506953981824102e-29
0.04,34,1.136196815664579e-29
0.04,35,1.7203893112956596e-30
0.04,36,2.6059917937339096e-31
0.04,37,3.948963405823127e-32
0.04,38,5.986159602693138e-33
0.04,39,9.077382115378835e-34
0.04,40,1.3769326951901912e-34
0.04,41,2.0892852713597775e-35
0.04,42,3.171095814496186e-36
0.04,43,4.814394531239671e-37
0.04,44,7.311208737890104e-38
0.04,45,1.1105720857032105e-38
0.04,46,1.687367158137027e-39
0.04,47,2.5643258572750647e-40
0.04,48,3.8979243387554193e-41
0.04,49,5.92633535188145e-42
0.04,50,9.01214051829457e-43
0.04,51,1.3707400645835068e-43
0.04,52,2.0852800498848763e-44
0.04,53,3.172873044578688e-45
0.04,54,4.828554032346528e-46
0.04,55,7.349449639189827e-47
0.04,56,1.1188277785315244e-47
0.04,57,1.7034911357188328e-48
0.04,58,2.5940740835291186e-49
0.04,59,3.95083138685013e-50
0.04,60,6.018054488855202e-51
0.04,61,9.16818180147509e-52
0.04,62,1.3969082326949525e-52
0.04,63,2.128669643058444e-53
0.04,64,3.244162817036123e-54
0.04,65,4.944806943313606e-55
0.04,66,7.537837546888944e-56
0.04,67,1.1491941989926549e-56
0.04,68,1.7522168238441827e-57
0.04,69,2.6719519852150674e-58
0.04,70,4.074877050708547e-59
0.04,71,6.215043245091894e-60
0.04,72,9.48017529955613e-61
0.04,73,1.4462054087349224e-61
0.04,74,2.206398100474574e-62
0.04,75,3.366487244013294e-63
0.04,76,5.1369843597578124e-64
0.04,77,7.839289322513094e-65
0.04,78,1.1964136737634286e-65
0.04,79,1.8260865167732577e-66
0.04,80,2.787377276206763e-67
0.04,81,4.2550408444426286e-68
0.04,82,6.495976788247336e-69
0.04,83,9.917841389215963e-70
0.04,84,1.514331840751412e-70
0.04,85,2.312359828372816e-71
0.04,86,3.5311773907409997e-72
0.04,87,5.3927802907330545e-73
0.04,88,8.236341207489564e-74
0.04,89,1.2580088751502154e-74
0.04,90,1.9215878084810116e-75
0.04,91,2.9353731777100864e-76
0.04,92,4.484276544945247e-77
0.04,93,6.850888100016825e-78
0.04,94,1.0467096765675619e-78
0.04,95,1.5993000799087098e-79
0.04,96,2.4437542250614313e-80
0.04,97,3.734293485503092e-81
0.04,98,5.706663257506739e-82
0.04,99,8.721244468483508e-83
0.04,100,1.3328971563888455e-83
0.05,1,0.05
0.05,2,0.007250000000000001
0.05,3,0.0011581250000000003
0.05,4,0.000193578125
0.05,5,3.322220703125001e-05
0.05,6,5.80134505859375e-06
0.05,7,1.0255449316894533e-06
0.05,8,1.8295733787133794e-07
0.05,9,3.2871422722486115e-08
0.05,10,5.93933905966438e-09
0.05,11,1.0780979585250562e-09
0.05,12,1.9644559518206046e-10
0.05,13,3.59113940233567e-11
0.05,14,6.583030350131966e-12
0.05,15,1.2096551485732923e-12
0.05,16,2.2274523655368222e-13
0.05,17,4.109213087257282e-14
0.05,18,7.593161089615282e-15
0.05,19,1.405156949152293e-15
0.05,20,2.603761831666401e-16
0.05,21,4.8305546267797926e-17
0.05,22,8.971492423941243e-18
0.05,23,1.6678737897523982e-18
0.05,24,3.103533697020806e-19
0.05,25,5.779800822188606e-20
0.05,26,1.0772199914273836e-20
0.05,27,2.009121404643789e-21
0.05,28,3.74969541829445e-22
0.05,29,7.00251317149826e-23
0.05,30,1.3084649619471777e-23
0.05,31,2.4462695479605044e-24
0.05,32,4.575788216892844e-25
0.05,33,8.563150929137026e-26
0.05,34,1.6032277350245428e-26
0.05,35,3.002891723620145e-27
0.05,36,5.6267392983361e-28
0.05,37,1.0547201263666057e-28
0.05,38,1.9777545183664758e-29
0.05,39,3.7098325362280495e-30
0.05,40,6.961064332537025e-31
0.05,41,1.3065607318314056e-31
0.05,42,2.4530694628433874e-32
0.05,43,4.606918202151441e-33
0.05,44,8.654183267507278e-34
0.05,45,1.6261158879193485e-34
0.05,46,3.0562011693232757e-35
0.05,47,5.745303127617974e-36
0.05,48,1.0802899323582596e-36
0.05,49,2.031702638745321e-37
0.05,50,3.8218064995398464e-38
0.05,51,7.190556386233424e-39
0.05,52,1.3531260900581575e-39
0.05,53,2.546788699028693e-40
0.05,54,4.794281290194482e-41
0.05,55,9.026664394270796e-42
0.05,56,1.6998149797805315e-42
0.05,57,3.2014306771267717e-43
0.05,58,6.030485760656457e-44
0.05,59,1.1361194754680437e-44
0.05,60,2.1407064055500604e-45
0.05,61,4.03412725768079e-46
0.05,62,7.603254791408104e-47
0.05,63,1.4331945039500922e-47
0.05,64,2.7018710849669742e-48
0.05,65,5.094204246317852e-49
0.05,66,9.605915013320461e-50
0.05,67,1.811549769176769e-50
0.05,68,3.416720847028056e-51
0.05,69,6.444883024135586e-52
0.05,70,1.2158096084605595e-52
0.05,71,2.293822591178637e-53
0.05,72,4.3280930322857934e-54
0.05,73,8.167228216189123e-55
0.05,74,1.5413207296225097e-55
0.05,75,2.9090453975895882e-56
0.05,76,5.490932419204468e-57
0.05,77,1.0365227253789636e-57
0.05,78,1.956805838237205e-58
0.05,79,3.6944679536528815e-59
0.05,80,6.975742670155856e-60
0.05,81,1.3172327780738093e-60
0.05,82,2.4875242252572427e-61
0.05,83,4.697902855423528e-62
0.05,84,8.873029150583587e-63
0.05,85,1.6759853346438957e-63
0.05,86,3.165907644684637e-64
0.05,87,5.980745292776722e-65
0.05,88,1.1299019305108073e-65
0.05,89,2.1347839758272956e-66
0.05,90,4.03361312210933e-67
0.05,91,7.621861893541908e-68
0.05,92,1.4403029804952465e-68
0.05,93,2.7218991850267926e-69
0.05,94,5.144167049709461e-70
0.05,95,9.722600009656191e-71
0.05,96,1.837695687530328e-71
0.05,97,3.473666362285183e-72
0.05,98,6.56637170984288e-73
