time,humidity,temperature
7939999, 54.50, 23.40
7959999, 54.40, 23.50
7979999, 54.40, 23.40
8000000, 54.50, 23.40
8019998, 54.70, 23.40
8040000, 54.80, 23.30
8079998, 54.40, 23.50
8119999, 54.40, 23.40
8159998, 54.80, 23.40
8179999, 54.30, 23.40
8199998, 53.20, 23.40
8220000, 53.20, 23.30
8240000, 53.30, 23.30
8279998, 53.20, 23.30
8299999, 53.50, 23.30
8320000, 52.50, 23.30
8339999, 52.80, 23.50
8379999, 53.10, 23.20
8399998, 53.40, 23.30
8419998, 52.80, 23.30
8440000, 53.10, 23.20
8460000, 52.70, 23.20
8480000, 52.90, 23.20
8499999, 53.00, 23.20
8519999, 52.80, 23.20
8539999, 52.30, 23.20
8579998, 52.50, 23.20
8599999, 52.60, 23.20
8620000, 52.60, 23.20
8640000, 52.60, 23.20
8679998, 52.20, 22.80
8719998, 52.60, 23.20
8739999, 52.50, 23.10
8759999, 52.80, 23.20
8779999, 52.80, 23.20
8799998, 52.60, 23.10
8820000, 52.50, 23.10
8839999, 52.50, 23.10
8859999, 52.60, 23.20
8899999, 52.60, 23.20
8920000, 52.80, 23.70
8959998, 52.50, 23.10
8999999, 52.80, 23.10
9019999, 52.80, 23.10
9039998, 52.50, 23.10
9059998, 52.50, 23.10
9099999, 52.50, 23.10
9119998, 52.60, 23.10
9139998, 52.50, 23.10
9160000, 52.50, 23.10
9180000, 52.60, 23.10
9199998, 52.50, 23.10
9219998, 52.50, 23.00
9239999, 52.50, 23.00
9259999, 52.50, 23.00
9280000, 52.80, 23.00
9300000, 52.70, 23.00
9319999, 52.90, 23.00
9340000, 53.00, 23.00
9359998, 53.10, 23.00
9379999, 53.20, 23.00
9419999, 53.20, 23.00
9440000, 53.30, 23.00
9459999, 53.60, 23.00
9499999, 53.40, 23.00
9539998, 53.40, 23.00
9579999, 53.50, 23.00
9599998, 53.40, 23.00
9619999, 53.50, 23.00
9639998, 53.50, 23.20
9659999, 53.40, 23.00
9679998, 53.00, 23.00
9699999, 53.00, 23.10
9719999, 52.90, 23.00
9739999, 52.90, 23.00
9759998, 53.00, 23.00
9779998, 53.00, 23.00
9799999, 52.90, 22.70
9820000, 53.10, 23.00
9859998, 53.00, 22.90
9880000, 52.90, 22.90
9899999, 52.80, 22.90
9919998, 53.00, 22.90
9939999, 53.00, 22.90
9959999, 52.80, 22.90
9979999, 52.80, 22.90
10019999, 52.80, 22.90
10039998, 52.80, 22.90
10059999, 53.20, 23.00
10099999, 53.00, 22.90
10139999, 53.00, 22.90
10160000, 53.30, 22.90
10179999, 53.10, 22.90
10199999, 53.20, 22.90
10219999, 53.10, 22.90
10240000, 52.10, 20.80
10259998, 53.20, 23.00
10279999, 53.20, 22.90
10299999, 53.20, 22.90
10320000, 53.00, 22.90
10339999, 52.90, 22.90
10359999, 53.00, 22.90
10380000, 52.10, 20.90
10399998, 53.10, 22.90
10419999, 53.00, 22.90
10459999, 53.00, 22.90
10480000, 53.00, 22.90
10499999, 52.70, 22.90
10519999, 52.60, 22.90
10559998, 52.70, 22.90
10579999, 53.00, 22.90
10599999, 52.80, 22.40
10620000, 53.00, 22.90
10639998, 53.00, 22.90
10659999, 53.10, 22.90
10679999, 53.10, 22.90
10719998, 53.10, 22.90
10759999, 53.10, 22.90
10779999, 52.90, 22.90
10799998, 53.10, 22.90
10819998, 53.00, 22.90
10840000, 53.00, 22.90
10859999, 52.60, 22.40
10879998, 52.80, 22.90
10899999, 52.80, 22.90
10919999, 52.80, 22.90
10939999, 51.30, 19.80
10960000, 52.70, 22.80
10999999, 52.70, 22.90
11020000, 52.80, 22.80
11040000, 53.10, 22.80
11059998, 51.60, 19.40
11079999, 52.30, 21.00
11099999, 53.30, 22.80
11139999, 53.30, 22.80
11159999, 53.30, 22.80
11179999, 53.30, 22.80
11200000, 53.40, 22.80
11219999, 53.50, 22.80
11239999, 53.50, 22.80
11280000, 53.50, 22.80
11319999, 53.30, 22.80
11340000, 54.20, 23.10
11359998, 54.20, 22.80
11399999, 54.10, 22.90
11439998, 54.00, 22.90
11479999, 54.00, 22.90
11519998, 54.00, 22.90
11559999, 54.00, 22.90
11599998, 53.90, 22.90
11619998, 53.80, 22.90
11659999, 53.50, 22.90
11699998, 53.40, 22.90
11720000, 53.70, 22.90
11739999, 53.60, 22.80
11760000, 53.70, 22.90
11779998, 53.70, 22.80
11799998, 53.70, 22.90
11819999, 53.70, 22.90
11840000, 53.80, 22.80
11859999, 53.80, 22.90
11899999, 53.80, 22.90
11919998, 53.90, 22.90
11939998, 53.90, 22.90
11959999, 54.00, 22.90
11999998, 54.00, 22.90
